[Squared] Step 0: Loss = 10.2516, W = 0.5254, b = 0.3171, LR = 0.005000
[Huber] Step 3500: Loss = 0.4274, W = 3.0024, b = 1.9924, LR = 0.000001
[Hybrid] Step 3500: Loss = 0.9027, W = 2.9989, b = 1.9952, LR = 0.000000
[Squared] Step 3600: Loss = 1.0050, W = 3.0018, b = 1.9944, LR = 0.000000
[Huber] Step 3600: Loss = 0.4274, W = 3.0024, b = 1.9924, LR = 0.000000
[Hybrid] Step 3600: Loss = 0.9027, W = 2.9989, b = 1.9952, LR = 0.000000
[Squared] Step 3700: Loss = 1.0050, W = 3.0018, b = 1.9944, LR = 0.000000
[Huber] Step 3700: Loss = 0.4274, W = 3.0024, b = 1.9924, LR = 0.000000
[Hybrid] Step 3700: Loss = 0.9027, W = 2.9989, b = 1.9952, LR = 0.000000
[Squared] Step 3800: Loss = 1.0050, W = 3.0018, b = 1.9944, LR = 0.000000
[Huber] Step 3800: Loss = 0.4274, W = 3.0024, b = 1.9924, LR = 0.000000
[Hybrid] Step 3800: Loss = 0.9027, W = 2.9989, b = 1.9952, LR = 0.000000
[Squared] Step 3900: Loss = 1.0050, W = 3.0018, b = 1.9944, LR = 0.000000
[Huber] Step 3900: Loss = 0.4274, W = 3.0024, b = 1.9924, LR = 0.000000
[Hybrid] Step 3900: Loss = 0.9027, W = 2.9989, b = 1.9952, LR = 0.000000
[Squared] Step 4000: Loss = 1.0050, W = 3.0018, b = 1.9944, LR = 0.000000
[Huber] Step 4000: Loss = 0.4274, W = 3.0024, b = 1.9924, LR = 0.000000
[Hybrid] Step 4000: Loss = 0.9027, W = 2.9989, b = 1.9952, LR = 0.000000
[Squared] Step 4100: Loss = 1.0050, W = 3.0018, b = 1.9944, LR = 0.000000
[Huber] Step 4100: Loss = 0.4274, W = 3.0024, b = 1.9924, LR = 0.000000
[Hybrid] Step 4100: Loss = 0.9027, W = 2.9989, b = 1.9952, LR = 0.000000
[Squared] Step 4200: Loss = 1.0050, W = 3.0018, b = 1.9944, LR = 0.000000
[Huber] Step 4200: Loss = 0.4274, W = 3.0024, b = 1.9924, LR = 0.000000
[Hybrid] Step 4200: Loss = 0.9027, W = 2.9989, b = 1.9952, LR = 0.000000
[Squared] Step 4300: Loss = 1.0050, W = 3.0018, b = 1.9944, LR = 0.000000
[Huber] Step 4300: Loss = 0.4274, W = 3.0024, b = 1.9924, LR = 0.000000
[Hybrid] Step 4300: Loss = 0.9027, W = 2.9989, b = 1.9952, LR = 0.000000
[Squared] Step 4400: Loss = 1.0050, W = 3.0018, b = 1.9944, LR = 0.000000
[Huber] Step 4400: Loss = 0.4274, W = 3.0024, b = 1.9924, LR = 0.000000
[Hybrid] Step 4400: Loss = 0.9027, W = 2.9989, b = 1.9952, LR = 0.000000
[Squared] Step 4500: Loss = 1.0050, W = 3.0018, b = 1.9944, LR = 0.000000
[Huber] Step 4500: Loss = 0.4274, W = 3.0024, b = 1.9924, LR = 0.000000
[Hybrid] Step 4500: Loss = 0.9027, W = 2.9989, b = 1.9952, LR = 0.000000
[Squared] Step 4600: Loss = 1.0050, W = 3.0018, b = 1.9944, LR = 0.000000
[Huber] Step 4600: Loss = 0.4274, W = 3.0024, b = 1.9924, LR = 0.000000
[Hybrid] Step 4600: Loss = 0.9027, W = 2.9989, b = 1.9952, LR = 0.000000
[Squared] Step 4700: Loss = 1.0050, W = 3.0018, b = 1.9944, LR = 0.000000
[Huber] Step 4700: Loss = 0.4274, W = 3.0024, b = 1.9924, LR = 0.000000
[Hybrid] Step 4700: Loss = 0.9027, W = 2.9989, b = 1.9952, LR = 0.000000
[Squared] Step 4800: Loss = 1.0050, W = 3.0018, b = 1.9944, LR = 0.000000
[Huber] Step 4800: Loss = 0.4274, W = 3.0024, b = 1.9924, LR = 0.000000
[Hybrid] Step 4800: Loss = 0.9027, W = 2.9989, b = 1.9952, LR = 0.000000
[Squared] Step 4900: Loss = 1.0050, W = 3.0018, b = 1.9944, LR = 0.000000
[Huber] Step 4900: Loss = 0.4274, W = 3.0024, b = 1.9924, LR = 0.000000
[Hybrid] Step 4900: Loss = 0.9027, W = 2.9989, b = 1.9952, LR = 0.000000

Final Parameters:
Squared Loss: W = 3.0018, b = 1.9944, Loss = 1.0050, Final LR = 0.000000
Huber Loss: W = 3.0024, b = 1.9924, Loss = 0.4274, Final LR = 0.000000
Hybrid Loss: W = 2.9989, b = 1.9952, Loss = 0.9027, Final LR = 0.000000
